行政代码,地名,东经,北纬
421124,湖北省英山县,115.774302,30.872992
421125,湖北省浠水县,115.276251,30.5074
421126,湖北省蕲春县,115.600771,30.328717
421127,湖北省黄梅县,115.941883,29.998876
421181,湖北省麻城市,115.089715,31.217943
421182,湖北省武穴市,115.625834,30.015614
421200,湖北省咸宁市,114.300061,29.880657
421201,湖北省咸宁市市辖区,114.300061,29.880657
421202,湖北省咸宁市咸安区,114.391867,29.85465
421221,湖北省嘉鱼县,113.967139,30.013807
421222,湖北省通城县,113.853266,29.229496
421223,湖北省崇阳县,114.067935,29.461789
421224,湖北省通山县,114.615246,29.55767
430626,湖南省平江县,113.720846,28.762203
654202,新疆乌苏市,84.277878,44.407687
654221,新疆额敏县,84.20932,46.590664
654223,新疆沙湾县,85.474874,44.353745
654224,新疆托里县,83.895485,45.656986
654225,新疆裕民县,82.814799,46.004456
654226,新疆和布克赛尔蒙古自治县,86.217436,46.256703
654300,新疆阿勒泰地区,88.137915,47.839744
654301,新疆阿勒泰市,87.926214,47.890136
654321,新疆布尔津县,87.235518,48.316007
654322,新疆富蕴县,89.393484,46.536157
654323,新疆福海县,88.050871,46.391694
654324,新疆哈巴河县,86.409673,48.316559
654325,新疆青河县,90.403028,46.268151
654326,新疆吉木乃县,86.208104,47.406311
659000,新疆省直辖行政单位,126.637707,45.611747
659001,新疆石河子市,86.041865,44.308259
659002,新疆阿拉尔市,81.291737,40.61568
659003,新疆图木舒克市,79.198155,39.889223
659004,新疆五家渠市,87.565449,44.368899
810000,香港特别行政区,114.186124,22.293586
820000,澳门特别行政区,113.557519,22.204118
640500,宁夏中卫市,105.196754,37.521124
640501,宁夏中卫市市辖区,105.196754,37.521124
640502,宁夏中卫市沙坡头区,105.111278,37.360639
640521,宁夏中宁县,105.69187,37.360097
640522,宁夏海原县,105.679649,36.603125
650000,新疆维吾尔自治区,85.614899,42.127001
650100,新疆乌鲁木齐市,87.564988,43.84038
650101,新疆乌鲁木齐市市辖区,88.005968,43.950293
650102,新疆乌鲁木齐市天山区,87.632903,43.78386
650103,新疆乌鲁木齐市沙依巴克区,87.545631,43.807886
650104,新疆乌鲁木齐市新市区,87.549219,43.898324
650105,新疆乌鲁木齐市水磨沟区,87.668014,43.843907
650106,新疆乌鲁木齐市头屯河区,87.425049,43.925789
650107,新疆乌鲁木齐市达坂城区,87.527134,43.004872
650108,新疆乌鲁木齐市东山区,87.564988,43.84038
650121,新疆乌鲁木齐县,87.360244,43.419108
650200,新疆克拉玛依市,84.88118,45.594331
650201,新疆克拉玛依市市辖区,126.637707,45.611747
650202,新疆克拉玛依市独山子区,84.899917,44.302338
650203,新疆克拉玛依市克拉玛依区,84.92699,45.203919
650204,新疆克拉玛依市白碱滩区,85.177829,45.633602
650205,新疆克拉玛依市乌尔禾区,85.511149,46.006576
652100,新疆克拉玛依市吐鲁番地区,84.88118,45.594331
652101,新疆吐鲁番市,89.266025,42.678925
652122,新疆鄯善县,90.616574,42.291735
652123,新疆托克逊县,88.424282,42.450354
652200,新疆哈密地区,93.528355,42.858596
652201,新疆哈密市,93.529373,42.344467
652222,新疆巴里坤哈萨克自治县,92.809873,44.273632
652223,新疆伊吾县,94.91157,43.570382
652300,新疆昌吉回族自治州,87.296038,44.007058
652301,新疆昌吉市,87.073618,44.175083
652302,新疆阜康市,88.305949,44.424104
652303,新疆米泉市,87.666864,43.959148
652323,新疆呼图壁县,86.693166,44.380956
652324,新疆玛纳斯县,86.137669,44.503552
652325,新疆奇台县,90.110269,44.527652
652327,新疆吉木萨尔县,89.053073,44.352914
652328,新疆木垒哈萨克自治县,90.823488,44.106619
652700,新疆博尔塔拉蒙古自治州,82.052436,44.913651
652701,新疆博乐市,81.874285,44.844209
652722,新疆精河县,82.922362,44.557568
652723,新疆温泉县,80.952156,44.96882
652801,新疆库尔勒市,85.709418,41.7055
652822,新疆轮台县,84.578959,41.819288
652823,新疆尉犁县,86.866991,40.858796
652800,新疆巴音郭楞蒙古自治州,86.121688,41.771362
652824,新疆若羌县,89.762772,38.973844
652825,新疆且末县,85.506366,38.100709
652826,新疆焉耆回族自治县,86.076068,42.096104
652827,新疆和静县,85.200093,42.828681
652828,新疆和硕县,87.588716,42.141076
652829,新疆博湖县,86.885379,41.857898
652900,新疆阿克苏地区,80.269846,41.171731
652901,新疆阿克苏市,81.156013,40.349444
652922,新疆温宿县,80.461878,41.582085
652923,新疆库车县,83.459807,41.781933
652924,新疆沙雅县,82.925516,40.406065
652925,新疆新和县,81.985216,41.3657
652926,新疆拜城县,81.901235,42.045285
652927,新疆乌什县,79.281639,41.261847
652928,新疆阿瓦提县,80.439932,40.060788
652929,新疆柯坪县,78.994696,40.456666
653000,新疆克孜勒苏柯尔克孜自治州,76.137564,39.750346
653001,新疆阿图什市,76.867154,40.13123
653022,新疆阿克陶县,75.258638,38.632494
653023,新疆阿合奇县,77.891629,40.855268
653024,新疆乌恰县,74.921544,39.834579
653100,新疆喀什地区,75.992973,39.470627
653121,新疆疏附县,75.754898,39.409741
653122,新疆疏勒县,76.36999,39.187645
653123,新疆英吉沙县,76.368709,38.800015
653101,新疆喀什市,76.014343,39.513111
653124,新疆泽普县,77.226408,38.122553
653125,新疆莎车县,77.014833,38.322588
653126,新疆叶城县,77.223631,36.993014
653127,新疆麦盖提县,78.24231,38.848363
653128,新疆岳普湖县,76.989631,39.116645
653129,新疆伽师县,77.231563,39.599103
653130,新疆巴楚县,78.907139,39.618107
110000,北京市,116.395645,39.929986
110100,北京市,116.395645,39.929986
110101,北京市东城区,116.421885,39.938574
110102,北京市西城区,116.37319,39.93428
110103,北京市崇文区,116.424636,39.889292
110104,北京市宣武区,116.369352,39.891531
110105,北京市朝阳区,116.521695,39.958953
110106,北京市丰台区,116.25837,39.841938
110107,北京市石景山区,116.184556,39.938867
110108,北京市海淀区,116.239678,40.033162
110109,北京市门头沟区,115.795795,40.000893
110111,北京市房山区,115.862836,39.726753
110112,北京市通州区,116.740079,39.809815
110113,北京市顺义区,116.728229,40.154951
110114,北京市昌平区,116.216456,40.221724
110115,北京市大兴区,116.425195,39.65279
110116,北京市怀柔区,116.593408,40.638139
110117,北京市平谷区,117.150433,40.215925
110200,北京市县,116.395645,39.929986
110228,北京市密云县,117.001201,40.532843
110229,北京市延庆县,116.169735,40.545156
120000,天津市,117.210813,39.14393
120100,天津市,117.210813,39.14393
120101,天津市和平区,117.202814,39.124809
120102,天津市河东区,117.261693,39.126626
120103,天津市河西区,117.236165,39.084494
120104,天津市南开区,117.162728,39.116987
120105,天津市河北区,117.220297,39.173149
120106,天津市红桥区,117.162217,39.170621
120107,天津市塘沽区,117.649081,39.007936
120108,天津市汉沽区,117.87353,39.247773
120109,天津市大港区,117.380794,38.729573
120110,天津市东丽区,117.414782,39.139605
120111,天津市西青区,117.126201,39.035065
120112,天津市津南区,117.39291,38.969791
120113,天津市北辰区,117.180606,39.259131
120114,天津市武清区,117.034578,39.457043
120115,天津市宝坻区,117.411421,39.615544
120200,天津市县,117.210813,39.14393
120221,天津市宁河县,117.689424,39.381561
120223,天津市静海县,116.972772,38.861262
120225,天津市蓟县,117.441159,40.009614
130000,河北省,115.661434,38.61384
130100,河北省石家庄市,114.522082,38.048958
130101,河北省石家庄市市辖区,114.522082,38.048958
130102,河北省石家庄市长安区,114.592622,38.076875
130103,河北省石家庄市桥东区,114.510784,38.06339
130104,河北省石家庄市桥西区,114.43814,38.033365
130105,河北省石家庄市新华区,114.453501,38.117219
130107,河北省石家庄市井陉矿区,114.050744,38.081098
130108,河北省石家庄市裕华区,114.586383,38.014621
130121,河北省井陉县,114.077952,38.000891
130123,河北省正定县,114.570201,38.227073
130124,河北省栾城县,114.632968,37.906161
130125,河北省行唐县,114.457436,38.546695
130126,河北省灵寿县,114.187819,38.510936
130127,河北省高邑县,114.607385,37.622651
130128,河北省深泽县,115.233102,38.194681
130129,河北省赞皇县,114.289553,37.628132
130130,河北省无极县,114.95114,38.183286
130131,河北省平山县,113.872429,38.408762
130132,河北省元氏县,114.42836,37.807353
130133,河北省赵县,114.834938,37.769612
130181,河北省辛集市,115.29875,37.924122
130182,河北省藁城市,114.816476,38.054936
130183,河北省晋州市,115.091738,37.991145
130184,河北省新乐市,114.762271,38.377578
130185,河北省鹿泉市,114.347323,38.084707
130200,河北省唐山市,118.183451,39.650531
130201,河北省唐山市市辖区,118.183451,39.650531
130202,河北省唐山市路南区,118.20604,39.612987
130203,河北省唐山市路北区,118.18507,39.657846
130204,河北省唐山市古冶区,118.462232,39.723045
130205,河北省唐山市开平区,118.257848,39.692123
130207,河北省唐山市丰南区,118.085847,39.384663
